 (-0.829756,-0.621012,1.200276) 
 (-0.819603,-0.617296,1.193093) 
 (-0.817078,-0.619314,1.196993) 
 (-0.813262,-0.620373,1.199040) 
 (-0.810680,-0.622393,1.202945) 
 (-0.805573,-0.622488,1.203128) 
 (-0.794253,-0.617752,1.193974) 
 (-0.802745,-0.628465,1.214680) 
 (-0.792662,-0.624681,1.207366) 
 (-0.793626,-0.629610,1.216893) 
 (-0.782354,-0.624833,1.207661) 
 (-0.792927,-0.637556,1.232251) 
 (-0.759972,-0.615216,1.189072) 
 (-0.776422,-0.632837,1.223130) 
 (-0.765225,-0.628012,1.213805) 
 (-0.758826,-0.627085,1.212013) 
 (-0.766585,-0.637927,1.232968) 
 (-0.757774,-0.635036,1.227381) 
 (-0.751328,-0.634100,1.225571) 
 (-0.740247,-0.629210,1.216119) 
 (-0.743068,-0.636152,1.229537) 
 (-0.737760,-0.636185,1.229601) 
 (-0.739291,-0.642158,1.241146) 
 (-0.728259,-0.637226,1.231614) 
 (-0.726307,-0.640226,1.237412) 
 (-0.724309,-0.643230,1.243217) 
 (-0.715577,-0.640253,1.237464) 
 (-0.714633,-0.644253,1.245195) 
 (-0.704820,-0.640256,1.237470) 
 (-0.707093,-0.647262,1.251011) 
 (-0.691860,-0.638228,1.233549) 
 (-0.688634,-0.640215,1.237390) 
 (-0.681078,-0.638176,1.233449) 
 (-0.687419,-0.649229,1.254813) 
 (-0.674513,-0.642137,1.241105) 
 (-0.672234,-0.645128,1.246886) 
 (-0.665721,-0.644072,1.244844) 
 (-0.663374,-0.647062,1.250624) 
 (-0.656849,-0.645992,1.248556) 
 (-0.656487,-0.651016,1.258266) 
 (-0.650954,-0.650954,1.258147) 
 (-0.645416,-0.650886,1.258015) 
 (-0.641882,-0.652854,1.261819) 
 (-0.634323,-0.650728,1.257710) 
 (-0.629759,-0.651664,1.259518) 
 (-0.627141,-0.654647,1.265285) 
 (-0.620572,-0.653522,1.263111) 
 (-0.617885,-0.656503,1.268872) 
 (-0.609384,-0.653303,1.262687) 
 (-0.601874,-0.651119,1.258465) 
 (-0.600069,-0.655121,1.266201) 
 (-0.597261,-0.658093,1.271944) 
 (-0.590677,-0.656921,1.269680) 
 (-0.581331,-0.652626,1.261378) 
 (-0.583041,-0.660780,1.277138) 
 (-0.577354,-0.660626,1.276840) 
 (-0.568957,-0.657339,1.270486) 
 (-0.568649,-0.663423,1.282247) 
 (-0.561153,-0.661161,1.277874) 
 (-0.556322,-0.662023,1.279540) 
 (-0.551471,-0.662879,1.281195) 
 (-0.545738,-0.662682,1.280813) 
 (-0.538290,-0.660376,1.276358) 
 (-0.534262,-0.662263,1.280003) 
 (-0.530200,-0.664146,1.283643) 
 (-0.526105,-0.666026,1.287277) 
 (-0.519501,-0.664738,1.284787) 
 (-0.513727,-0.664495,1.284318) 
 (-0.507142,-0.663186,1.281788) 
 (-0.501372,-0.662925,1.281284) 
 (-0.501943,-0.671138,1.297157) 
 (-0.493750,-0.667685,1.290484) 
 (-0.487935,-0.667405,1.289942) 
 (-0.483655,-0.669244,1.293496) 
 (-0.476299,-0.666818,1.288808) 
 (-0.468973,-0.664379,1.284093) 
 (-0.466892,-0.669399,1.293796) 
 (-0.456626,-0.662665,1.280781) 
 (-0.456655,-0.670888,1.296675) 
 (-0.451511,-0.671623,1.298095) 
 (-0.445639,-0.671279,1.297429) 
 (-0.439062,-0.669852,1.294671) 
 (-0.434589,-0.671637,1.298123) 
 (-0.430769,-0.674494,1.303643) 
 (-0.460156,-0.730114,1.411145) 
 (-0.452476,-0.727630,1.406343) 
 (-0.447476,-0.729447,1.409856) 
 (-0.441135,-0.729099,1.409182) 
 (-0.438020,-0.734146,1.418938) 
 (-0.434820,-0.739194,1.428695) 
 (-0.423998,-0.731243,1.413326) 
 (-0.421350,-0.737363,1.425155) 
 (-0.413712,-0.734802,1.420205) 
 (-0.407917,-0.735486,1.421527) 
 (-0.400323,-0.732899,1.416528) 
 (-0.393351,-0.731387,1.413604) 
 (-0.389281,-0.735308,1.421184) 
 (-0.385143,-0.739227,1.428758) 
 (-0.376464,-0.734413,1.419453) 
 (-0.373362,-0.740502,1.431222) 
 (-0.366365,-0.738940,1.428204) 
 (-0.359922,-0.738460,1.427275) 
 (-0.355578,-0.742348,1.434790) 
 (-0.349106,-0.741850,1.433827) 
 (-0.341116,-0.738050,1.426484) 
 (-0.335672,-0.739722,1.429715) 
 (-0.331176,-0.743584,1.437178) 
 (-0.323731,-0.740845,1.431886) 
 (-0.316797,-0.739193,1.428692) 
 (-0.314048,-0.747435,1.444622) 
 (-0.306172,-0.743561,1.437135) 
 (-0.299689,-0.742978,1.436009) 
 (-0.292775,-0.741281,1.432729) 
 (-0.285458,-0.738468,1.427291) 
 (-0.284031,-0.751104,1.451715) 
 (-0.274629,-0.742747,1.435561) 
 (-0.268157,-0.742109,1.434329) 
 (-0.265207,-0.751421,1.452326) 
 (-0.257905,-0.748552,1.446781) 
 (-0.252880,-0.752318,1.454059) 
 (-0.244157,-0.744990,1.439897) 
 (-0.238384,-0.746518,1.442850) 
 (-0.233273,-0.750257,1.450076) 
 (-0.225074,-0.743995,1.437973) 
 (-0.219916,-0.747714,1.445162) 
 (-0.214058,-0.749204,1.448041) 
 (-0.208790,-0.752909,1.455201) 
 (-0.201063,-0.747705,1.445143) 
 (-0.195160,-0.749164,1.447964) 
 (-0.188669,-0.748386,1.446461) 
 (-0.184631,-0.757625,1.464317) 
 (-0.176504,-0.750140,1.449851) 
 (-0.170522,-0.751560,1.452595) 
 (-0.165002,-0.755200,1.459631) 
 (-0.157543,-0.749905,1.449396) 
 (-0.151972,-0.753526,1.456394) 
 (-0.145474,-0.752671,1.454742) 
 (-0.139402,-0.754039,1.457386) 
 (-0.133108,-0.754279,1.457850) 
 (-0.127747,-0.760097,1.469095) 
 (-0.120860,-0.756962,1.463037) 
 (-0.114699,-0.758289,1.465600) 
 (-0.107396,-0.751773,1.453007) 
 (-0.101705,-0.756433,1.462014) 
 (-0.095230,-0.755489,1.460188) 
 (-0.089164,-0.757890,1.464830) 
 (-0.082444,-0.754683,1.458632) 
 (-0.076004,-0.753704,1.456738) 
 (-0.069682,-0.753833,1.456988) 
 (-0.063734,-0.758432,1.465876) 
 (-0.057199,-0.756298,1.461753) 
 (-0.050850,-0.756394,1.461938) 
 (-0.044235,-0.751996,1.453437) 
 (-0.038258,-0.758793,1.466576) 
 (-0.032026,-0.762218,1.473195) 
 (-0.025547,-0.760028,1.468961) 
 (-0.019077,-0.756704,1.462537) 
 (-0.012718,-0.756732,1.462592) 
 (-0.006331,-0.753386,1.456124) 
 (0.000000,-0.754513,1.458302) 
 (0.006397,-0.761234,1.471292) 
 (0.012756,-0.758975,1.466926) 
 (0.019077,-0.756704,1.462537) 
 (0.025396,-0.755544,1.460294) 
 (0.032073,-0.763339,1.475362) 
 (0.037919,-0.752069,1.453578) 
 (0.044697,-0.759841,1.468600) 
 (0.051076,-0.759756,1.468436) 
 (0.052708,-0.696915,1.346978) 
 (0.058650,-0.697936,1.348953) 
 (0.064609,-0.698948,1.350907) 
 (0.070470,-0.698828,1.350676) 
 (0.075961,-0.695339,1.343932) 
 (0.081525,-0.692960,1.339335) 
 (0.087188,-0.691692,1.336883) 
 (0.093430,-0.694889,1.343063) 
 (0.099246,-0.694719,1.342734) 
 (0.104718,-0.692302,1.338062) 
 (0.110505,-0.692112,1.337695) 
 (0.116100,-0.690794,1.335148) 
 (0.122854,-0.696171,1.345541) 
 (0.128250,-0.693716,1.340795) 
 (0.134251,-0.694601,1.342507) 
 (0.139814,-0.693244,1.339883) 
 (0.145118,-0.690761,1.335084) 
 (0.151353,-0.692732,1.338893) 
 (0.156860,-0.691346,1.336215) 
 (0.163128,-0.693295,1.339981) 
 (0.168612,-0.691890,1.337266) 
 (0.174912,-0.693817,1.340990) 
 (0.180661,-0.693505,1.340388) 
 (0.186103,-0.692072,1.337618) 
 (0.191519,-0.690630,1.334830) 
 (0.197226,-0.690290,1.334175) 
 (0.203577,-0.692163,1.337795) 
 (0.208949,-0.690694,1.334954) 
 (0.215329,-0.692545,1.338532) 
 (0.220319,-0.689947,1.333511) 
 (0.226353,-0.690668,1.334905) 
 (0.232769,-0.692487,1.338420) 
 (0.237684,-0.689864,1.333350) 
 (0.242944,-0.688341,1.330407) 
 (0.248575,-0.687917,1.329587) 
 (0.255421,-0.690799,1.335157) 
 (0.260640,-0.689249,1.332161) 
 (0.265404,-0.686588,1.327018) 
 (0.271863,-0.688333,1.330391) 
 (0.277457,-0.687861,1.329480) 
 (0.282586,-0.686279,1.326422) 
 (0.289535,-0.689093,1.331861) 
 (0.294169,-0.686393,1.326643) 
 (0.298754,-0.683688,1.321414) 
 (0.306228,-0.687568,1.328912) 
 (0.310771,-0.684847,1.323653) 
 (0.316786,-0.685411,1.324743) 
 (0.322291,-0.684869,1.323695) 
 (0.328831,-0.686508,1.326864) 
 (0.334327,-0.685947,1.325780) 
 (0.340351,-0.686471,1.326793) 
 (0.344727,-0.683708,1.321453) 
 (0.352410,-0.687489,1.328760) 
 (0.356172,-0.683621,1.321285) 
 (0.362752,-0.685198,1.324332) 
 (0.367596,-0.683498,1.321047) 
 (0.373001,-0.682879,1.319851) 
 (0.376585,-0.678994,1.312340) 
 (0.384379,-0.682704,1.319511) 
 (0.389749,-0.682061,1.318268) 
 (0.394475,-0.680327,1.314917) 
 (0.401079,-0.681834,1.317830) 
 (0.408346,-0.684410,1.322810) 
 (0.412380,-0.681572,1.317325) 
 (0.417688,-0.680889,1.316004) 
 (0.422311,-0.679121,1.312587) 
 (0.426221,-0.676271,1.307078) 
 (0.430769,-0.674494,1.303643) 
 (0.438066,-0.677010,1.308507) 
 (0.446099,-0.680587,1.315419) 
 (0.444927,-0.670206,1.295357) 
 (0.455112,-0.676979,1.308447) 
 (0.461753,-0.678378,1.311151) 
 (0.466937,-0.677629,1.309702) 
 (0.469870,-0.673669,1.302050) 
 (0.475748,-0.673976,1.302643) 
 (0.480864,-0.673209,1.301161) 
 (0.487500,-0.674564,1.303779) 
 (0.491043,-0.671656,1.298158) 
 (0.498460,-0.674054,1.302794) 
 (0.504322,-0.674318,1.303305) 
 (0.506978,-0.670338,1.295611) 
 (0.513613,-0.671648,1.298143) 
 (0.519444,-0.671890,1.298611) 
 (0.522799,-0.668958,1.292945) 
 (0.531932,-0.673403,1.301535) 
 (0.533561,-0.668356,1.291780) 
 (0.540199,-0.669621,1.294226) 
 (0.542569,-0.665626,1.286504) 
 (0.550055,-0.667924,1.290946) 
 (0.554084,-0.666021,1.287267) 
 (0.561595,-0.668298,1.291668) 
 (0.563813,-0.664294,1.283930) 
 (0.572225,-0.667596,1.290311) 
 (0.580679,-0.670881,1.296661) 
 (0.586446,-0.671029,1.296948) 
 (0.587625,-0.665975,1.287178) 
 (0.594270,-0.667152,1.289454) 
 (0.599062,-0.666247,1.287703) 
 (0.601017,-0.662232,1.279944) 
 (0.606694,-0.662354,1.280181) 
 (0.609505,-0.659374,1.274420) 
 (0.614189,-0.658455,1.272645) 
 (0.623696,-0.662677,1.280805) 
 (0.633256,-0.666881,1.288929) 
 (0.633039,-0.660804,1.277184) 
 (0.640651,-0.662935,1.281303) 
 (0.639310,-0.655844,1.267598) 
 (0.645900,-0.656941,1.269717) 
 (0.654521,-0.660068,1.275761) 
 (0.656048,-0.656048,1.267992) 
 (0.664693,-0.659154,1.273994) 
 (0.668210,-0.657165,1.270151) 
 (0.675852,-0.659232,1.274147) 
 (0.681422,-0.659262,1.274204) 
 (0.681717,-0.654229,1.264476) 
 (0.694664,-0.661320,1.278182) 
 (0.691689,-0.653262,1.262607) 
 (0.703637,-0.659314,1.274304) 
 (0.702688,-0.653280,1.262643) 
 (0.706002,-0.651273,1.258763) 
 (0.714755,-0.654276,1.264567) 
 (0.720238,-0.654262,1.264539) 
 (0.725713,-0.654241,1.264500) 
 (0.732296,-0.655212,1.266377) 
 (0.725430,-0.644225,1.245142) 
 (0.743224,-0.655138,1.266234) 
 (0.738468,-0.646159,1.248880) 
 (0.744996,-0.647113,1.250722) 
 (0.752676,-0.649047,1.254460) 
 (0.763837,-0.653932,1.263903) 
 (0.759971,-0.645975,1.248524) 
 (0.760661,-0.641977,1.240795) 
 (0.776543,-0.650765,1.257780) 
 (0.776019,-0.645778,1.248143) 
 (0.771868,-0.637863,1.232845) 
 (0.775952,-0.636816,1.230821) 
 (0.786007,-0.640650,1.238231) 
